frameid;landmark;x;y;abs_x;abs_y
0;75;3,16693E+16;4,09754E+15;2,02684E+16;1,96682E+16
;;;;;
0;76;3,01053E+15;4,6748E+15;1,92674E+16;2,2439E+15
;;;;;
0;77;3,04348E+15;4,68249E+13;1,94783E+16;2,2476E+15
;;;;;
0;78;3,02969E+15;4,67194E+16;1,939E+16;2,24253E+16
;;;;;
0;79;3,19184E+15;4,01658E+15;2,04278E+16;1,92796E+16
;;;;;
0;80;3,11143E+16;4,65207E+15;1,99131E+16;2,23299E+16
;;;;;
0;81;3,16238E+16;4,64615E+15;2,02392E+16;2,23015E+16
;;;;;
0;82;3,22406E+16;4,65102E+16;2,0634E+16;2,23249E+15
;;;;;
0;83;3,15872E+15;4,96259E+15;2,02158E+16;2,38204E+16
;;;;;
0;84;3,19921E+16;4,76682E+16;2,0475E+16;2,28807E+16
;;;;;
0;85;3,2047E+16;4,71868E+15;2,05101E+16;2,26497E+16
;;;;;
0;86;3,21252E+16;4,68285E+15;2,05602E+16;2,24777E+16
;;;;;
0;87;3,22243E+15;4,65638E+16;2,06235E+15;2,23506E+16
;;;;;
0;88;3,10998E+16;4,65538E+15;1,99039E+16;2,23458E+16
;;;;;
0;89;3,0973E+15;4,66956E+16;1,98227E+16;2,24139E+16
;;;;;
0;90;3,08177E+16;4,68938E+15;1,97234E+16;2,2509E+16
;;;;;
0;91;3,06771E+16;4,71619E+15;1,96333E+16;2,26377E+16
;;;;;
0;92;2,97403E+16;4,39979E+16;1,90338E+16;2,1119E+16
;;;;;
0;93;2,38186E+16;4,05583E+15;1,52439E+16;1,9468E+16
;;;;;
0;94;3,34309E+14;4,13845E+14;2,13958E+15;1,98646E+16
;;;;;
0;95;3,07114E+16;4,66293E+16;1,96553E+16;2,2382E+15
;;;;;
0;96;3,05823E+16;4,67183E+15;1,95727E+16;2,24248E+16
;;;;;
0;97;3,23157E+16;4,16645E+15;2,06821E+16;1,9999E+16
;;;;;
0;98;3,11024E+15;4,14392E+16;1,99055E+13;1,98908E+16
;;;;;
0;99;3,22163E+15;4,14081E+15;2,06184E+16;1,98759E+16
;;;;;
0;100;3,04879E+15;3,75156E+16;1,95123E+16;1,80075E+16
;;;;;
0;101;2,90972E+14;3,8161E+15;1,86222E+16;1,83173E+16
;;;;;
0;102;3,07652E+14;4,00186E+14;1,96897E+16;1,92089E+16
;;;;;
0;103;2,78482E+16;2,642E+15;1,78228E+16;1,26816E+16
;;;;;
0;104;2,83063E+15;2,77693E+15;1,8116E+16;1,33293E+16
;;;;;
0;105;2,85561E+16;2,85742E+16;1,82759E+16;1,37156E+16
;;;;;
0;106;2,96865E+15;4,82735E+15;1,89993E+16;2,31713E+16
;;;;;
0;107;3,22456E+15;2,92054E+15;2,06372E+16;1,40186E+16
;;;;;
0;108;3,24625E+14;2,76617E+16;2,0776E+16;1,32776E+16
;;;;;
0;109;3,23886E+15;2,5461E+15;2,07287E+16;1,22213E+16
;;;;;
0;110;2,80602E+16;3,44872E+16;1,79585E+12;1,65538E+14
;;;;;
0;111;2,61032E+15;3,55674E+16;1,6706E+16;1,70723E+16
;;;;;
0;112;3,14087E+15;3,43161E+14;2,01015E+15;1,64717E+16
;;;;;
0;113;2,69127E+15;3,23095E+15;1,72241E+15;1,55086E+15
;;;;;
0;114;3,20796E+15;3,61025E+15;2,05309E+16;1,73292E+16
;;;;;
0;115;3,14822E+15;3,94235E+16;2,01486E+15;1,89233E+16
;;;;;
0;116;2,50992E+15;3,66856E+16;1,60635E+16;1,76091E+15
;;;;;
0;117;2,67623E+16;3,64124E+16;1,71279E+15;1,7478E+16
;;;;;
0;118;2,79257E+15;3,69044E+16;1,78725E+16;1,77141E+16
;;;;;
0;119;2,95373E+16;3,67533E+16;1,89039E+15;1,76416E+15
;;;;;
0;120;3,06588E+15;3,63145E+16;1,96216E+16;1,7431E+16
;;;;;
0;121;3,14837E+15;3,58403E+16;2,01495E+16;1,72033E+15
;;;;;
0;122;3,32865E+16;3,45488E+15;2,13033E+14;1,65834E+15
;;;;;
0;123;2,51278E+16;3,91263E+16;1,60818E+16;1,87806E+16
;;;;;
0;124;2,62643E+15;3,22156E+15;1,68092E+15;1,54635E+16
;;;;;
0;125;3,30378E+16;4,09007E+15;2,11442E+16;1,96323E+16
;;;;;
0;126;3,13816E+16;3,78932E+16;2,00842E+15;1,81888E+16
;;;;;
